llm_row_number,article_id_schema,sentence_id_schema,stable_sentence_id,stable_article_id,party_mentioned
14391,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_011b7769fc45db2ca55fa485fba5c861b37e7d33ffc0777804014d0a15620fc3,art_v1_197c01605fd34a1a77bc8d7274548c42dd6e7af64f747d7c2447ab07b2994209,democrat
14392,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_de8a970bcd577c21983756ef5abe805bf1602193e44b62fc954802eedaf245ad,art_v1_197c01605fd34a1a77bc8d7274548c42dd6e7af64f747d7c2447ab07b2994209,democrat
14393,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f47ba068d31b83fafd90464e7aa3a5ef9f6244226aa248e55b536a4ec7e51f6e,art_v1_24a7c30cc15842ffb08958e591dfd4b769390379ef66f4ea80ce8d0d46892912,republican
14394,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_5ebe5cd5bc0422bb8959505a892727f488f9b1d1db0a2fddac184e857c267db0,art_v1_4c496d9201cd3c9147e87b0b9a14a20549bdbd6f3ecc5ee8b7876831f9c5cc8b,democrat
14395,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_09cf344723858bbf8459632944cb9b2d623708c8db316ffc071d897138709de2,art_v1_f35cb435a488382b2c58863cd7fa172080e0e7b13a37f40e9c40d6e9bfccc4fc,democrat
14396,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_b36f9bf77b6a4a514a9f8dce809cc9df97505838a72edb8183b41e808c2b05d2,art_v1_f35cb435a488382b2c58863cd7fa172080e0e7b13a37f40e9c40d6e9bfccc4fc,democrat
14397,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f6024c0d2d8105cb50cd035d3e06ccf92a7ef670b4ca1c109f0b8b3c0d13c128,art_v1_f35cb435a488382b2c58863cd7fa172080e0e7b13a37f40e9c40d6e9bfccc4fc,democrat
14398,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_7aaa1a073f404e66aa48f0bf1a17f94a01c181529c03d1a228957c0cc00340b6,art_v1_f35cb435a488382b2c58863cd7fa172080e0e7b13a37f40e9c40d6e9bfccc4fc,democrat
14399,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1f9bc02940ccdb7e4833fef5ea7868c488ece10b0dd68a95cfef4fe950e9a929,art_v1_979e886f64c8f415c549e4773ee20d85a7d23826220ccf1f3ae47d9d7903c79e,democrat
14400,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_d68b7f6ae353def4cd3404aeea08ba5919f3f90ef147a9625427df9315e68094,art_v1_3c70a47d1c6ddd6d54ac16b2456d80c27cd92c18a27e324670e945dc0b1d3294,republican
14401,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_a5dc4123ec61b40e68b38e7f2fcfb73c38fbd2e5c612c4790ce5e6629ce9b542,art_v1_3c70a47d1c6ddd6d54ac16b2456d80c27cd92c18a27e324670e945dc0b1d3294,republican
14402,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_bd386eceb32d5ff5880e0264b1f926c40fb4e49abf6571cdcc7a4a7efd1094f2,art_v1_ff12853a530fc77a819c0357f80f852c4c78713f352664105909677b61153c5f,democrat
14403,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_a58c74a291c3329a55eaf6ebd483cf4a8e83d7e02405cba2bdeb19227c1895d2,art_v1_68ea0e48414220b6f416a239704c3e8b25c2ddd0d25546cc74a758d5177002f7,republican
14404,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_95207ca47a13084a499a85c32c3b2b192afd5b96ed0d24ce1bb0a492a92cef21,art_v1_81b358e985f17e74048d5681ee4225cc9b8baf719cb05ff40ce06f0dde02b926,democrat
14405,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1fde74253d7e22a3ba8858d920c9aae54033f532fd90827b910e363ab54e3f65,art_v1_b710050a7ead6030dff77b03e0edc57ca975cebe55720477e37bae746b1d64f5,republican
14406,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_67a30196bd6160d93c4484f2e35e4791b627a67c4b452d9ba8d322cf1d9d7347,art_v1_b710050a7ead6030dff77b03e0edc57ca975cebe55720477e37bae746b1d64f5,republican
14407,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_679d63da489fda3ec6e7853ca76f35559ed804c98504a0f8ede19600a3e3cdf3,art_v1_3539939b6f56fd89bd9fa2376172af35638022dfc4289a4295d6a07947fa8b23,democrat
14408,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_7bf81f26609e03aa3e99b79640d4ac56fc68a6378feaa29bfa9a6a8d27101f9c,art_v1_896a8bfd7ddf9c2900c9790f6dc57a7a2c9d6f7f4d7a7d5cc2cb5fdc3a6bafc6,democrat
14409,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_9a50c53c531e34d418f197d3e8f408ca8036732b3e4daf2a82d77753a7286173,art_v1_ba90e8acaf56e194355d2e0febd941515adc78127131c51f7f8e7cff31165fa8,republican
14410,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_e8ee6cf462268a9ec4dc6630c5296c8220719e2971f358e24b0a1c9fc2d992fb,art_v1_ba90e8acaf56e194355d2e0febd941515adc78127131c51f7f8e7cff31165fa8,democrat
14411,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_80213cd529cb27f590cd90677feb0dcce65ec0319105b961421a0cee9766aaae,art_v1_5adb053b6fbd803826d6b3135664b1f3189929121a9af812f090c8d245b13521,democrat
14412,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_a48c7c66b876faddd1f79a08eca950662d6fa658375da5eb73a5974ddd95c6a9,art_v1_bd9c62c9415847628c21b90a64ad67351cd29ea6214ef912f4ccd8776187245b,democrat
14413,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_05e10e7018100fe5b04d4ca2c990987e8b72ab7fabc746426c8e20fad7851130,art_v1_bd9c62c9415847628c21b90a64ad67351cd29ea6214ef912f4ccd8776187245b,democrat
14414,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_aacfb2d6a74f6206cd0879b782d399532ff56c2e1341440b704c5e0ca4ca5130,art_v1_bd9c62c9415847628c21b90a64ad67351cd29ea6214ef912f4ccd8776187245b,democrat
