block_length,uncertainty_layer,statistic,observed_value,bootstrap_mean,bootstrap_standard_error,ci_lower_pointwise,ci_upper_pointwise,probability_positive
4,measurement_and_temporal,full_r_squared,0.2942612328103475,0.3425777386625088,0.1575551429261818,0.0656487487041815,0.6597645141011483,1.0
4,measurement_and_temporal,q2_contribution,0.0716200144310093,0.1169801467121099,0.0931857105910125,0.0036524120134134,0.3449927033703164,1.0
4,measurement_and_temporal,q3_contribution,0.0424532287887241,0.0713514354715843,0.0714495444878281,0.0020003516182691,0.2557641922765918,1.0
4,measurement_and_temporal,q4_contribution,0.180187989590614,0.1542461564788144,0.1234392288045972,0.0026293105430103,0.4501528277596246,1.0
4,measurement_and_temporal,q4_minus_q2,0.1085679751596046,0.0372660097667044,0.1660300872357229,-0.2803944520627519,0.3865713802092855,0.581
4,measurement_and_temporal,q4_minus_q3,0.1377347608018898,0.0828947210072301,0.141546251295735,-0.1765801731087928,0.4024301606934247,0.723
4,measurement_and_temporal,q1_q2_correlation,0.3191770218644927,0.3481970623265792,0.1752582371082479,-0.0208886457443827,0.6574900772377004,0.9674
4,measurement_and_temporal,q1_q3_correlation,0.2938288379064648,0.259611229017976,0.2046203716611483,-0.1814706849604282,0.6164850923721968,0.8942
4,measurement_and_temporal,q1_q4_correlation,0.4663082166588721,0.3850710009699412,0.2095011238931261,-0.0775078782438616,0.7421975231885293,0.9512
4,temporal_only,full_r_squared,0.2942612328103475,0.351679389798379,0.1368737642002871,0.1003224155059475,0.6173183946170984,1.0
4,temporal_only,q2_contribution,0.0716200144310093,0.0905700044111404,0.0612167179507282,0.0073596141539894,0.2414120634717292,1.0
4,temporal_only,q3_contribution,0.0424532287887241,0.0759947031706537,0.0694273692356943,0.0023110408849582,0.2441287306656376,1.0
4,temporal_only,q4_contribution,0.180187989590614,0.1851146822165847,0.1186111892910499,0.0044710879895028,0.4538332709292407,1.0
4,temporal_only,q4_minus_q2,0.1085679751596046,0.0945446778054442,0.1526399277595241,-0.1993605338169885,0.4089243920100864,0.7338
4,temporal_only,q4_minus_q3,0.1377347608018898,0.1091199790459309,0.1306357993259136,-0.1134805999515468,0.4064029774114442,0.8042
4,temporal_only,q1_q2_correlation,0.3191770218644927,0.3311121123333752,0.1102543935915537,0.0981321373373676,0.5284431630847949,0.995
4,temporal_only,q1_q3_correlation,0.2938288379064648,0.2957416117860407,0.1934757041686859,-0.1116615379318063,0.615355945536965,0.9194
4,temporal_only,q1_q4_correlation,0.4663082166588721,0.4462619517653223,0.1738118805082925,0.0390407236380051,0.7388550030329234,0.9864
5,measurement_and_temporal,full_r_squared,0.2942612328103475,0.339139120493769,0.1543568603104379,0.0647319402659085,0.656754365570544,1.0
5,measurement_and_temporal,q2_contribution,0.0716200144310093,0.1137637439194505,0.0908255881962376,0.0035686187214252,0.3369481028021305,1.0
5,measurement_and_temporal,q3_contribution,0.0424532287887241,0.0708600186908631,0.0716706451011075,0.0023951084011148,0.2612287961672488,1.0
5,measurement_and_temporal,q4_contribution,0.180187989590614,0.1545153578834553,0.1217511948931182,0.0027236530626712,0.4427052707618696,1.0
5,measurement_and_temporal,q4_minus_q2,0.1085679751596046,0.0407516139640047,0.163061455164504,-0.2794791332885905,0.3818200332525598,0.5872
5,measurement_and_temporal,q4_minus_q3,0.1377347608018898,0.0836553391925922,0.1410919124082557,-0.1812015939668464,0.3880131959163389,0.7254
5,measurement_and_temporal,q1_q2_correlation,0.3191770218644927,0.3454131850675294,0.1711049556896715,-0.0181289827647874,0.646183865549323,0.9684
5,measurement_and_temporal,q1_q3_correlation,0.2938288379064648,0.2570601310225958,0.2047445565375961,-0.1811054989593182,0.6153148099282012,0.8928
5,measurement_and_temporal,q1_q4_correlation,0.4663082166588721,0.3870458733408707,0.207096820003251,-0.0635634191823033,0.733289815946451,0.9556
