model_id,series,reporting_role,year_month,observed,structural_regime_mean,one_step_ar_fitted,innovation,standardized_innovation
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-12,41.621635424008375,38.567677021571214,40.7961507551035,0.8254846689048767,0.2549915870977984
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-01,31.79647862160208,34.62178417800533,33.22993461011686,-1.433455988514773,-0.4427934658449065
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-02,35.38737231922933,34.62178417800533,35.72579767003146,-0.3384253508021353,-0.1045393337584926
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-03,37.12578446744588,34.62178417800533,35.26554615434423,1.860238313101655,0.5746262016800492
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-04,32.49789947029008,34.62178417800533,32.00446105898728,0.4934384113027983,0.15242275038255826
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-05,27.49930123577101,28.02264408635325,28.75428905443763,-1.2549878186666221,-0.38766478376242497
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-06,25.71324208038159,28.02264408635325,29.49660148069384,-3.7833594003122513,-1.1686768445098332
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-07,29.383080146555763,28.02264408635325,30.35030693446846,-0.9672267879126979,-0.2987756199767594
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-08,29.781083213550914,28.02264408635325,27.886977820238716,1.8941053933122,0.5850877170280107
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-09,41.271931705613255,39.936323299549066,37.70994926056923,3.5619824450440216,1.1002936712092168
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-10,40.78014034512094,39.936323299549066,37.903043991679176,2.8770963534417677,0.8887328778264008
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-11,35.94284144791523,39.936323299549066,38.5456942084691,-2.6028527605538727,-0.8040192403282523
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2023-12,40.423281061443845,39.936323299549066,43.135967606753,-2.712686545309151,-0.8379468129976045
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-01,39.40252177887654,39.936323299549066,41.38248448862362,-1.9799627097470773,-0.6116089768482945
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-02,41.889201128166896,39.936323299549066,40.187411151265195,1.7017899769016998,0.5256816310022769
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-03,41.88287375987609,39.936323299549066,38.4288319034015,3.454041856474588,1.0669509054033965
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-04,35.18767131484606,39.936323299549066,37.26084405982429,-2.0731727449782276,-0.6404014859188313
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-05,35.80912090529779,39.936323299549066,43.29585685068466,-7.486735945386867,-2.3126470458003383
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-06,46.48207567430694,39.936323299549066,45.89603380104883,0.5860418732581145,0.18102788942900816
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-07,42.05405671286235,39.936323299549066,35.98694303600396,6.067113676858392,1.874126805549618
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-08,40.50181432113925,39.936323299549066,34.93882507390222,5.562989247237031,1.7184031522267043
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-09,38.40279819744461,39.936323299549066,38.42729596434228,-0.024497766897665585,-0.0075673415835509445
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-10,40.08625063999523,39.936323299549066,41.0510427419492,-0.9647921019539716,-0.2980235473337581
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-11,41.0867992308096,39.936323299549066,40.52505556247428,0.5617436683353239,0.17352219238788735
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2024-12,34.93691958961276,39.936323299549066,38.82904056493872,-3.8921209753259642,-1.2022732124045818
Party Brand Index_selected_primary_K1_AR0,Party Brand Index,selected_primary,2022-03,43.031746997270034,53.71945657561568,53.71945657561568,-10.687709578345647,-2.285562812718289
