year_month,party,raw_iqr,raw_iqr_ci_lower,raw_iqr_ci_upper,message_coherence,coherence_ci_lower,coherence_ci_upper,n_articles,bootstrap_valid_coherence,k_used
2022-11,democrat,41.25,23.33333333333333,50.0,0.4072743601257297,0.3548387096774194,0.5438763400424915,142,5000,28.34375
2022-11,republican,32.5,22.493750000000002,37.1875,0.4658448895737031,0.43006341570085277,0.5605372477705721,91,5000,28.34375
2022-12,democrat,15.625,10.0,20.0,0.644633972992182,0.5750303443457135,0.7355371900826446,236,5000,28.34375
2022-12,republican,33.75,26.25,37.5,0.45646703573225966,0.4239039257107649,0.5176470588235295,97,5000,28.34375
2023-01,democrat,17.5,14.583333333333332,22.5,0.6182685753237901,0.5491057216095078,0.6631593476444735,218,5000,28.34375
2023-01,republican,47.5,31.25,67.5,0.37371240214256285,0.2906708125966421,0.47056380244692037,57,5000,28.34375
2023-02,democrat,18.0,13.0,20.0,0.6115981119352664,0.5742793791574279,0.6832527486112077,396,5000,28.34375
2023-02,republican,55.0,35.5,65.0,0.3400824896887889,0.29431679043991055,0.4385765919403165,115,5000,28.34375
2023-03,democrat,21.25,10.0,35.0,0.571518588531821,0.44295302013422816,0.7288146535216815,156,5000,28.34375
2023-03,republican,26.904761904761912,24.998863636363637,31.87604166666665,0.5130228674549518,0.4618706344797955,0.541985091040654,143,5000,28.34375
2023-04,democrat,30.0,18.328125,50.0,0.48580610605249064,0.35444282690413764,0.60397502250225,89,5000,28.34375
2023-04,republican,32.5,22.5,50.05882352941176,0.4658448895737031,0.35848749818046993,0.5500058563248308,30,5000,28.34375
2023-05,democrat,27.500000000000004,15.0,35.0,0.5075545607162842,0.44232307292584067,0.6539376529270683,147,5000,28.34375
2023-05,republican,38.03125,21.82991071428571,62.91666666666667,0.4270244821092279,0.3055463687257947,0.5620456981234978,46,5000,28.34375
2023-06,democrat,15.0,10.0,22.5,0.6539293439077145,0.5523884062535914,0.7425594359727314,121,5000,28.34375
2023-06,republican,45.0,27.5,60.0,0.38645078824030676,0.31753150102953354,0.5018887527297373,57,5000,28.34375
2023-07,democrat,23.541666666666664,15.0,28.75,0.5462758482232484,0.4889051857423426,0.6536805459818961,256,5000,28.34375
2023-07,republican,60.416666666666664,39.375,67.5,0.3193287172867035,0.28888832315003393,0.4185069483573936,92,5000,28.34375
2023-08,democrat,28.208333333333332,16.666666666666668,42.708333333333336,0.501197273899429,0.39347463826752227,0.6242974895835558,120,5000,28.34375
2023-08,republican,33.0,28.0,42.53125,0.46204788588894546,0.39396177601169835,0.4978039325752914,86,5000,28.34375
2023-09,democrat,16.666666666666668,15.0,20.0,0.6297153436704466,0.5728587319243604,0.6627634660421545,252,5000,28.34375
2023-09,republican,36.70833333333333,27.916666666666657,42.5,0.4357085668534828,0.3976927162049498,0.49767981552350105,178,5000,28.34375
2023-10,democrat,20.0,15.0,20.0,0.5862960568842922,0.5691178692974025,0.6619718309859155,255,5000,28.34375
2023-10,republican,34.37499999999999,29.375,40.0,0.4519182859990035,0.40950443487543986,0.49135081835584893,236,5000,28.34375
2023-11,democrat,20.0,15.0,28.0,0.5862960568842922,0.4947351150641164,0.6563680976796926,109,5000,28.34375
2023-11,republican,38.92857142857143,33.125,45.208333333333336,0.4213285553122304,0.3747268369498602,0.45781952372601425,147,5000,28.34375
2023-12,democrat,20.0,15.0,20.0,0.5862960568842922,0.5687849557598766,0.6559139784946236,240,5000,28.34375
2023-12,republican,34.708333333333336,29.0,39.08541666666663,0.4495291590946638,0.413739073522841,0.4929600952015595,258,5000,28.34375
2024-01,democrat,20.0,14.375,20.0,0.5862960568842922,0.5652173913043479,0.6703361344537815,106,5000,28.34375
2024-01,republican,41.5,30.0,48.75,0.4058165548098434,0.3673630040182048,0.47826734757776307,138,5000,28.34375
2024-02,democrat,20.0,15.0,20.0,0.5862960568842922,0.5682967959527825,0.665893271461717,259,5000,28.34375
2024-02,republican,36.666666666666664,31.785714285714285,40.0,0.43598782246434875,0.39906103286384975,0.46681225017923633,455,5000,28.34375
2024-03,democrat,13.333333333333332,7.2458333333333345,15.625,0.6800799800049988,0.6363567440898752,0.7946436146093875,93,5000,28.34375
2024-03,republican,40.0,34.15625000000001,50.0,0.4147233653406493,0.35724286832524005,0.4501157857861788,160,5000,28.34375
2024-04,democrat,20.0,16.666666666666668,24.171874999999922,0.5862960568842922,0.5388515121683497,0.6271218311091034,204,5000,28.34375
2024-04,republican,43.75,39.16666666666667,52.5,0.39315127871694844,0.34667136999508674,0.42168674698795183,380,5000,28.34375
2024-05,democrat,23.541666666666668,14.375,38.75,0.5462758482232483,0.41618881520877793,0.6632386676130888,104,5000,28.34375
2024-05,republican,47.25,32.5,60.0,0.374948325754444,0.31125826683317936,0.45864887745591837,63,5000,28.34375
2024-06,democrat,15.0,10.0,17.875,0.6539293439077145,0.6065551369978085,0.732443069127008,166,5000,28.34375
2024-06,republican,30.0,20.625,48.33333333333333,0.48580610605249064,0.372972972972973,0.5727138646773717,70,5000,28.34375
2024-07,democrat,19.0,10.0,24.375,0.5986798679867987,0.5392263110464518,0.736919081326068,107,5000,28.34375
2024-07,republican,26.666666666666664,24.24791666666667,36.666666666666664,0.5152433251278167,0.43333321834322247,0.5432993406023392,123,5000,28.34375
2024-08,democrat,20.0,10.0,35.0,0.5862960568842922,0.4461774259554587,0.7346600331674958,54,5000,28.34375
2024-08,republican,25.0,5.0,57.5,0.5313415348564734,0.3275512890617089,0.8452124696781534,36,5000,28.34375
2024-09,democrat,23.833333333333332,16.5,32.5,0.5432222000399282,0.4583333333333333,0.6305079786989942,126,5000,28.34375
2024-09,republican,26.25,21.666666666666664,36.25,0.519175729822553,0.43684130494065754,0.566761230845936,112,5000,28.34375
2024-10,democrat,28.33333333333333,16.25,38.125,0.5000918948722661,0.4205627751068937,0.632822622793451,69,5000,28.34375
2024-10,republican,27.5,17.5,34.0625,0.5075545607162842,0.44558419907699187,0.6138097216452013,84,5000,28.34375
2024-11,democrat,22.36111111111111,15.5,23.571428571428573,0.5589947271108676,0.5335599396309548,0.6423611151656692,187,5000,28.34375
2024-11,republican,27.5,25.0,32.5,0.5075545607162842,0.45837134240600114,0.5359639984345195,257,5000,28.34375
2024-12,democrat,20.0,10.0,45.0,0.5862960568842922,0.3831750378857234,0.7419354838709677,59,5000,28.34375
2024-12,republican,25.0,21.25,30.0,0.5313415348564734,0.4838536013545782,0.5719033479314051,117,5000,28.34375
