model_class,year_month,observed,structural_mean,one_step_fitted,innovation
trend_only,2024-08,40.50181432113925,40.159773099895446,40.159773099895446,0.34204122124380376
trend_only,2024-09,38.40279819744461,40.5360519281517,40.5360519281517,-2.1332537307070893
trend_only,2024-10,40.08625063999523,40.91233075640796,40.91233075640796,-0.8260801164127329
trend_only,2024-11,41.0867992308096,41.288609584664215,41.288609584664215,-0.20181035385461144
trend_only,2024-12,34.93691958961276,41.664888412920476,41.664888412920476,-6.7279688233077195
break_only,2022-03,19.968979886147597,28.20200642043469,26.104975631831863,-6.135995745684267
break_only,2022-04,29.187411939676807,28.20200642043469,32.62665047959001,-3.439238539913205
break_only,2022-05,36.70169823824752,28.20200642043469,30.763452702172778,5.9382455360747475
break_only,2022-06,14.150831658218094,28.20200642043469,20.88797673181859,-6.737145073600497
break_only,2022-07,39.69731341333724,28.20200642043469,36.15610663652784,3.5412067768094024
break_only,2022-08,23.493171991639585,28.20200642043469,24.593687368925988,-1.1005153772864036
break_only,2022-09,40.33633774456976,37.273519261377785,36.40732961666263,3.9290081279071303
break_only,2022-10,39.34476896622999,37.273519261377785,36.7062761934727,2.6384927727572904
break_only,2022-11,35.68709475730685,37.273519261377785,34.338286929274844,1.34880782803201
break_only,2022-12,41.621635424008375,37.273519261377785,37.71753470643063,3.90410071757775
break_only,2023-01,31.79647862160208,37.273519261377785,34.385803028079636,-2.5893244064775565
break_only,2023-02,35.38737231922933,37.273519261377785,39.951226636133235,-4.563854316903905
break_only,2023-03,37.12578446744588,37.273519261377785,41.04430966481144,-3.918525197365561
break_only,2023-04,32.49789947029008,28.742861655944164,29.633378234284365,2.8645212360057153
break_only,2023-05,27.49930123577101,28.742861655944164,25.749784264150605,1.7495169716204049
break_only,2023-06,25.71324208038159,28.742861655944164,28.220342908302705,-2.5071008279211147
break_only,2023-07,29.383080146555763,28.742861655944164,31.71432967515588,-2.331249528600119
break_only,2023-08,29.781083213550914,28.742861655944164,29.45969664787535,0.32138656567556356
break_only,2023-09,41.271931705613255,39.90849726424197,38.80277121067671,2.4691604949365478
break_only,2023-10,40.78014034512094,39.90849726424197,38.37576148924684,2.4043788558741026
break_only,2023-11,35.94284144791523,39.90849726424197,38.6428316247645,-2.6999901768492656
break_only,2023-12,40.423281061443845,39.90849726424197,42.777163144394265,-2.353882082950417
break_only,2024-01,39.40252177887654,39.90849726424197,41.10964831165499,-1.7071265327784553
break_only,2024-02,41.889201128166896,39.90849726424197,40.10967213129932,1.7795289968675747
break_only,2024-03,41.88287375987609,39.90849726424197,38.50454546321611,3.378328296659977
break_only,2024-04,35.18767131484606,39.90849726424197,37.4940209982697,-2.3063496834236417
break_only,2024-05,35.80912090529779,39.90849726424197,42.94082672028594,-7.13170581498815
break_only,2024-06,46.48207567430694,39.90849726424197,45.17010949487155,1.3119661794353954
break_only,2024-07,42.05405671286235,39.90849726424197,36.23754102666127,5.81651568620108
break_only,2024-08,40.50181432113925,39.90849726424197,35.47889048945995,5.022923831679302
break_only,2024-09,38.40279819744461,39.90849726424197,38.54969879034221,-0.14690059289760282
break_only,2024-10,40.08625063999523,39.90849726424197,40.890523522401004,-0.8042728824057789
break_only,2024-11,41.0867992308096,39.90849726424197,40.3789505866483,0.7078486441613039
break_only,2024-12,34.93691958961276,39.90849726424197,38.87775562150247,-3.94083603188972
break_plus_trend,2022-03,19.968979886147597,28.24666597449123,26.142130099424307,-6.1731502132767115
break_plus_trend,2022-04,29.187411939676807,28.22797907945978,32.66925061780266,-3.4818386781258517
break_plus_trend,2022-05,36.70169823824752,28.20929218442833,30.809894156950783,5.891804081296742
break_plus_trend,2022-06,14.150831658218094,28.19060528939688,20.901651552330698,-6.750819894112605
break_plus_trend,2022-07,39.69731341333724,28.171918394365434,36.107006240408246,3.590307172928993
break_plus_trend,2022-08,23.493171991639585,28.153231499333984,24.525243097532364,-1.03207110589278
break_plus_trend,2022-09,40.33633774456976,37.33090994649119,36.40976331697428,3.9265744275954844
break_plus_trend,2022-10,39.34476896622999,37.31222305145974,36.77405130591605,2.5707176603139406
break_plus_trend,2022-11,35.68709475730685,37.29353615642829,34.41564880537934,1.2714459519275119
break_plus_trend,2022-12,41.621635424008375,37.27484926139684,37.749642728199255,3.8719926958091184
break_plus_trend,2023-01,31.79647862160208,37.25616236636539,34.38178348493127,-2.5853048633291853
break_plus_trend,2023-02,35.38737231922933,37.237475471333944,39.89681256570791,-4.509440246478583
break_plus_trend,2023-03,37.12578446744588,37.218788576302494,40.95058675612664,-3.824802288680761
break_plus_trend,2023-04,32.49789947029008,28.77235713458774,29.6032971936399,2.894602276650178
break_plus_trend,2023-05,27.49930123577101,28.753670239556296,25.765898835983883,1.7334023997871277
break_plus_trend,2023-06,25.71324208038159,28.734983344524846,28.23257863097348,-2.519336550591892
break_plus_trend,2023-07,29.383080146555763,28.716296449493395,31.68260571833447,-2.2995255717787098
break_plus_trend,2023-08,29.781083213550914,28.697609554461945,29.38986374988486,0.3912194636660562
break_plus_trend,2023-09,41.271931705613255,40.04663178558549,38.89442436959006,2.3775073360231906
break_plus_trend,2023-10,40.78014034512094,40.02794489055404,38.590415091650925,2.189725253470014
break_plus_trend,2023-11,35.94284144791523,40.0092579955226,38.89805754116922,-2.9552160932539966
break_plus_trend,2023-12,40.423281061443845,39.99057110049115,42.98603686685795,-2.562755805414108
break_plus_trend,2024-01,39.40252177887654,39.9718842054597,41.28079000721033,-1.87826822833379
break_plus_trend,2024-02,41.889201128166896,39.95319731042825,40.23893460040405,1.6502665277628439
break_plus_trend,2024-03,41.88287375987609,39.9345104153968,38.59463420146857,3.2882395584075157
break_plus_trend,2024-04,35.18767131484606,39.91582352036535,37.54295681317677,-2.3552854983307125
break_plus_trend,2024-05,35.80912090529779,39.8971366253339,42.94163836634958,-7.1325174610517905
break_plus_trend,2024-06,46.48207567430694,39.87844973030245,45.12910866560356,1.352967008703379
break_plus_trend,2024-07,42.05405671286235,39.859762835271,36.1657017368742,5.888354975988149
break_plus_trend,2024-08,40.50181432113925,39.84107594023955,35.362662137729984,5.1391521834092675
break_plus_trend,2024-09,38.40279819744461,39.82238904520811,38.38982190175276,0.012976295691846662
break_plus_trend,2024-10,40.08625063999523,39.80370215017666,40.68685794443095,-0.6006073044357219
break_plus_trend,2024-11,41.0867992308096,39.78501525514521,40.13516546175975,0.9516337690498544
break_plus_trend,2024-12,34.93691958961276,39.76632836011376,38.59370251400875,-3.656782924395992
