replicate,ar_order,primary_fixed_order,phi,bic_ar0,bic_ar1,bic_preferred_ar_order,republican_intercept,republican_polarization,republican_time,democrat_intercept,democrat_polarization,democrat_time,polarization_effect_contrast
56,1,False,-0.007864651346272561,523.8185252915765,527.3411329089812,0,40.607885277937896,-0.7139296977702285,-0.5210326379373861,20.148880097045314,-0.06688112341351432,0.044627789831060825,-0.6470485743567143
57,0,True,0.0,495.1992596413976,497.7443563314562,0,39.221214243273074,-0.4922630739518113,-0.5712076547997356,19.578431372549023,-0.203653502327135,0.0014647937508129594,-0.28860957162467626
57,1,False,0.12649610136554088,495.1992596413976,497.7443563314562,0,39.23678049588628,-0.48496974378602087,-0.5830611580892531,19.565286593587366,-0.19235925771668433,-0.0031549377267482627,-0.29261048606933654
58,0,True,0.0,534.0067367678109,537.475042603515,0,40.92393207282914,0.07641665688644952,-0.6974209639813368,19.698704481792717,-0.356348650720562,0.1568614621130816,0.4327653076070115
58,1,False,-0.03469589987851403,534.0067367678109,537.475042603515,0,40.91988644089657,0.06021351133273562,-0.6881400729476008,19.716654998417358,-0.3474253524872059,0.15395766885307557,0.4076388638199415
59,0,True,0.0,485.22877580812747,488.2152159878033,0,40.70995998666849,-0.32615236571636974,-0.5250478126983992,19.782563025210088,-0.2813639165090735,0.18180134065247158,-0.044788449207296244
59,1,False,-0.10788929652846799,485.22877580812747,488.2152159878033,0,40.72223547108681,-0.40899837423158264,-0.485849730991734,19.78360826902827,-0.2915371286068274,0.18619845330284615,-0.11746124562475524
60,0,True,0.0,530.4439960364477,533.8202862319937,0,39.168767507002805,0.04758266105928863,-0.5239168733559445,20.200717787114847,-0.425534660061477,0.1396510872933855,0.47311732112076565
60,1,False,-0.050618717402362914,530.4439960364477,533.8202862319937,0,39.174924559445124,0.020269311552593504,-0.5109384371922657,20.207075086243776,-0.42322587386428684,0.13737439284675715,0.4434951854168803
61,0,True,0.0,509.9508267033775,512.6105573775222,0,38.05539507469655,-0.7738445028704946,-0.18482776101407328,19.227415966386555,-0.20822242760308474,0.21057522756345567,-0.5656220752674098
61,1,False,0.12184859181611367,509.9508267033775,512.6105573775222,0,38.073389853190726,-0.7096116765352817,-0.21801585241287158,19.180632357649287,-0.2018018642515475,0.19929396791966508,-0.5078098122837342
62,0,True,0.0,531.5787679936545,535.0674348611965,0,41.146446078431374,0.5623092143679498,-0.958215423126248,19.446691176470594,-0.18431360948969103,0.06776609117647546,0.7466228238576408
62,1,False,-0.027054814001921605,531.5787679936545,535.0674348611965,0,41.13983099753394,0.5549418711393086,-0.9535991138002595,19.452863018081405,-0.17935755859995695,0.06657020659492506,0.7342994297392655
63,0,True,0.0,489.52645867523506,488.2923263218607,1,40.79542760086491,-0.7769306212991989,-0.18685994300586567,18.486111111111114,0.06453580326518918,0.11224847556432607,-0.841466424564388
63,1,False,-0.2995452721241873,489.52645867523506,488.2923263218607,1,40.831567326371356,-0.9579008753931237,-0.06252122430230589,18.419875089815953,0.11283148873113007,0.08663170539673093,-1.0707323641242539
64,0,True,0.0,508.0076029524893,510.88885250205414,0,36.14853763475087,-0.5384344103524762,-0.10728399520724388,18.269403594771244,-0.09188001149135373,0.13794365024270713,-0.44655439886112247
64,1,False,0.10392820814722163,508.0076029524893,510.88885250205414,0,36.10592238747045,-0.4957885748891996,-0.12763393863037326,18.241795380674564,-0.0792430867329891,0.12710032029600316,-0.4165454881562105
65,0,True,0.0,509.98324820737935,513.5009626895144,0,37.55497198879552,-0.20456398571739132,-0.6335373181392995,19.018032212885164,-0.1157174341034711,0.24001347884467145,-0.08884655161392022
65,1,False,0.01376578732025522,509.98324820737935,513.5009626895144,0,37.5594454341289,-0.19064481734118566,-0.6395003439471884,19.021954155048782,-0.11496573242691371,0.24000307858800005,-0.07567908491427194
66,0,True,0.0,500.1693333073541,502.113807870204,0,40.226488891010966,0.28997710968059587,-0.9415012643298876,19.752733479755545,0.056967332065798536,0.03663874894961005,0.23300977761479733
66,1,False,0.20152695462336176,500.1693333073541,502.113807870204,0,40.35656481671363,0.5848223852411513,-1.087233303705589,19.81305412429849,0.01789552814216756,0.06101464091689139,0.5669268570989837
67,0,True,0.0,545.7600591784376,548.1766276288231,0,40.089592086834756,0.2515143222472247,-0.9590902306486233,19.535539215686285,-0.4136364789924016,0.12874986056858712,0.6651508012396263
67,1,False,0.15347218885772412,545.7600591784376,548.1766276288231,0,40.13009459424374,0.3561604770750973,-1.0043892389059599,19.43598555701996,-0.42989804249679797,0.13041680358231444,0.7860585195718952
68,0,True,0.0,491.1578848985136,492.97538266072996,0,38.762901194345844,0.02757498099194472,-0.6077254951839688,18.793894830659543,-0.04992836377195986,0.1507658928481061,0.07750334476390458
68,1,False,-0.19859546420388244,491.1578848985136,492.97538266072996,0,38.81099900581899,-0.12852413079050443,-0.5350719000532399,18.799440532051413,-0.011765909592281588,0.13372582217839324,-0.11675822119822284
69,0,True,0.0,496.2588257123631,499.09549314751655,0,40.18088049613785,-0.8842125263913876,-0.6442328752443915,18.5655637254902,-0.29260888703120175,0.03649719649309549,-0.5916036393601858
69,1,False,0.11709639381579422,496.2588257123631,499.09549314751655,0,40.14269992090287,-0.9641632516771096,-0.6215817420729214,18.5482830558332,-0.3038806170705764,0.04416645828520065,-0.6602826346065331
70,0,True,0.0,514.229427756133,517.2279113767713,0,40.10342261904763,0.020041196453180574,-0.9050722747992236,19.5811887254902,0.019101666568242963,0.1911664961007017,0.0009395298849376107
70,1,False,-0.10278243454888628,514.229427756133,517.2279113767713,0,40.09271351676002,-0.07934789825144342,-0.8525443407595932,19.600981780291075,0.02751790065916575,0.19117144681220888,-0.10686579891060917
71,0,True,0.0,510.0698394647149,513.5911498473766,0,39.39668083142349,-0.5036110609051887,-0.6163199857314248,19.947478991596636,-0.2289187483019427,0.2262122901463285,-0.274692312603246
