year_month,party,dimension,mean,ci_lower,ci_upper,raw_iqr,raw_iqr_ci_lower,raw_iqr_ci_upper,n_articles,bootstrap_valid_mean,bootstrap_valid_raw_iqr
2022-06,republican,q2,24.333053224571554,4.201515141900503,48.51813884467585,27.5,0.0,92.5,8,5000,4788
2022-06,republican,q3,5.5788589130225965,0.0,20.0,,,,3,4767,1773
2022-06,republican,q4,19.839465655706633,0.0,55.294947680820215,55.0,,,7,4993,4608
2022-07,democrat,q1,12.447162384105019,9.358361027464822,15.84503369529654,10.0,10.0,20.0,121,5000,5000
2022-07,democrat,q2,13.190795623462282,8.301484231241249,18.786117445139748,20.0,10.0,22.5,74,5000,5000
2022-07,democrat,q3,12.202898409896,4.595193584280496,21.372201459991487,10.0,0.0,46.666666666666664,36,5000,5000
2022-07,democrat,q4,12.571140882490424,7.492383784570496,18.151506532018594,20.0,10.0,20.0,51,5000,5000
2022-07,republican,q1,52.14447579744226,28.31976036306643,73.09824063682002,72.5,5.0,80.0,12,5000,4989
2022-07,republican,q2,36.77622660637882,15.565173735413962,57.341972450992515,60.0,7.5,72.5,11,4999,4988
2022-07,republican,q3,28.515451191515357,0.0,64.44516239374099,30.0,0.0,100.0,8,4999,4808
2022-07,republican,q4,35.810446350208274,0.0,60.0,45.0,,,4,4917,2838
2022-08,democrat,q1,9.600189292124305,7.540817329685504,11.889009285722386,10.0,10.0,15.0,119,5000,5000
2022-08,democrat,q2,8.46442800680209,5.47335434018843,12.02268548333333,10.0,10.0,10.0,65,5000,5000
2022-08,democrat,q3,9.67464968716301,5.41514714267675,14.845183825852441,10.0,0.0,23.33333333333333,40,5000,5000
2022-08,democrat,q4,7.230680385977586,5.101428916518189,9.333958562934633,10.0,10.0,10.0,55,5000,5000
2022-08,republican,q1,33.09336128376389,14.767594658828889,52.33254276201244,41.25,10.0,82.5,15,5000,5000
2022-08,republican,q2,24.2535498524165,4.362085839710631,45.59880223729288,20.0,0.0,90.0,9,5000,4901
2022-08,republican,q3,0.0,0.0,0.0,0.0,,,4,4917,2897
2022-08,republican,q4,19.228786562009315,0.0,50.0,40.0,,,6,4989,4296
2022-09,democrat,q1,12.298209893856157,10.031979013897262,14.660752858610236,20.0,10.0,20.0,163,5000,5000
2022-09,democrat,q2,6.819867607356415,4.942493728757311,8.952475453899785,10.0,10.0,10.0,134,5000,5000
2022-09,democrat,q3,11.574780477582896,6.391100819991477,17.41784050932678,10.0,0.0,20.0,74,5000,5000
2022-09,democrat,q4,11.153958456245496,7.234025197775659,16.142037903906093,20.0,10.0,20.0,71,5000,5000
2022-09,republican,q1,52.634547638425914,42.94950761429579,60.78305280322272,63.75,25.0,70.0,29,5000,5000
2022-09,republican,q2,37.77419808690624,23.393698685505395,50.64083137421586,53.33333333333333,20.0,76.66666666666667,19,5000,4999
2022-09,republican,q3,42.98283923065957,15.885126317634233,69.31867392382911,72.5,12.5,100.0,10,5000,4949
2022-09,republican,q4,46.78020818378,20.59586469806358,71.25119456305364,58.75,10.0,89.24999999999955,10,5000,4945
