model_id,series,minseglen,year_month,observed,structural_regime_mean,one_step_ar_fitted,innovation,standardized_innovation
Polarization_minseg6_K3_AR2,Polarization,6,2022-12,41.621635424008375,37.77222600928037,38.637989247623324,2.98364617638505,0.7758606789024358
Polarization_minseg6_K3_AR2,Polarization,6,2023-01,31.79647862160208,37.77222600928037,35.84990807203249,-4.053429450430411,-1.0540447289579038
Polarization_minseg6_K3_AR2,Polarization,6,2023-02,35.38737231922933,37.77222600928037,40.513777505326956,-5.126405186097625,-1.3330589395937065
Polarization_minseg6_K3_AR2,Polarization,6,2023-03,37.12578446744588,29.790882573337726,33.86061577722619,3.2651686902196984,0.8490671637862127
Polarization_minseg6_K3_AR2,Polarization,6,2023-04,32.49789947029008,29.790882573337726,25.498837823943774,6.999061646346305,1.8200203373958794
Polarization_minseg6_K3_AR2,Polarization,6,2023-05,27.49930123577101,29.790882573337726,24.952762133096236,2.5465391026747746,0.6621963330272147
Polarization_minseg6_K3_AR2,Polarization,6,2023-06,25.71324208038159,29.790882573337726,30.354658720338154,-4.641416639956563,-1.2069436027125717
Polarization_minseg6_K3_AR2,Polarization,6,2023-07,29.383080146555763,29.790882573337726,33.60982276244247,-4.226742615886709,-1.0991126968952323
Polarization_minseg6_K3_AR2,Polarization,6,2023-08,29.781083213550914,29.790882573337726,31.69724226646719,-1.916159052916276,-0.49827371470765514
Polarization_minseg6_K3_AR2,Polarization,6,2023-09,41.271931705613255,39.8718967631449,40.040429277404264,1.2315024282089886,0.32023713722579045
Polarization_minseg6_K3_AR2,Polarization,6,2023-10,40.78014034512094,39.8718967631449,38.87623000739195,1.903910337728985,0.4950885862041111
Polarization_minseg6_K3_AR2,Polarization,6,2023-11,35.94284144791523,39.8718967631449,38.668886856395254,-2.726045408480026,-0.7088747513301754
Polarization_minseg6_K3_AR2,Polarization,6,2023-12,40.423281061443845,39.8718967631449,42.317259365454234,-1.8939783040103864,-0.49250588236852083
Polarization_minseg6_K3_AR2,Polarization,6,2024-01,39.40252177887654,39.8718967631449,41.03459287559758,-1.6320710967210452,-0.42440011792994115
Polarization_minseg6_K3_AR2,Polarization,6,2024-02,41.889201128166896,39.8718967631449,39.98859372872418,1.9006073994427146,0.49422969751903806
Polarization_minseg6_K3_AR2,Polarization,6,2024-03,41.88287375987609,39.8718967631449,38.61757778328077,3.265295976595318,0.849100263050658
Polarization_minseg6_K3_AR2,Polarization,6,2024-04,35.18767131484606,39.8718967631449,37.63708632985418,-2.4494150150081224,-0.6369404024844962
Polarization_minseg6_K3_AR2,Polarization,6,2024-05,35.80912090529779,39.8718967631449,42.41960126488946,-6.6104803595916675,-1.7189745286346307
Polarization_minseg6_K3_AR2,Polarization,6,2024-06,46.48207567430694,39.8718967631449,44.627984576305614,1.8540910980013283,0.4821337025240582
Polarization_minseg6_K3_AR2,Polarization,6,2024-07,42.05405671286235,39.8718967631449,36.76191330323063,5.292143409631716,1.3761571365746372
Polarization_minseg6_K3_AR2,Polarization,6,2024-08,40.50181432113925,39.8718967631449,35.69556851383023,4.8062458073090175,1.2498054107570973
Polarization_minseg6_K3_AR2,Polarization,6,2024-09,38.40279819744461,39.8718967631449,38.557785650204316,-0.15498745275970371,-0.04030259059242567
Polarization_minseg6_K3_AR2,Polarization,6,2024-10,40.08625063999523,39.8718967631449,40.6712335848155,-0.5849829448202759,-0.15211765668022445
Polarization_minseg6_K3_AR2,Polarization,6,2024-11,41.0867992308096,39.8718967631449,40.30079052494048,0.7860087058691236,0.20439194599733335
Polarization_minseg6_K3_AR2,Polarization,6,2024-12,34.93691958961276,39.8718967631449,38.91961420850254,-3.9826946188897834,-1.0356510015596863
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2022-03,43.031746997270034,53.71945657561568,53.71945657561568,-10.687709578345647,-2.285562812718289
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2022-04,52.04340502830389,53.71945657561568,53.71945657561568,-1.6760515473117934,-0.3584230148334309
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2022-05,55.72073476834652,53.71945657561568,53.71945657561568,2.0012781927308367,0.42797261486943244
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2022-06,44.275881058987245,53.71945657561568,53.71945657561568,-9.443575516628435,-2.019505195353917
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2022-07,56.19299969599727,53.71945657561568,53.71945657561568,2.473543120381592,0.5289662981724118
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2022-08,53.38697492221824,53.71945657561568,53.71945657561568,-0.33248165339743707,-0.0711010808579531
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2022-09,53.89953584964042,53.71945657561568,53.71945657561568,0.18007927402474166,0.03850988736503121
