series,minseglen,initialization,replicate,seed,suggestion_count,n_breakpoints,ar_order,break_onset_indices_1based,break_onset_dates,ga_objective_bic,refit_raw_bic,break_location_penalty,log_likelihood,ga_convergence_counter,configuration
Polarization,4,structured,2,3502,5,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,4,structured,3,3503,5,2,0,5|19,2022-07|2023-09,228.1773839428242,221.12466289359187,7.052721049232323,-103.50961039756362,0.0,2|0|5|19
Polarization,4,structured,4,3504,5,3,1,6|15|19,2022-08|2023-05|2023-09,223.14968552867379,212.57060395482532,10.579081573848484,-95.70622040356417,0.0,3|1|6|15|19
Polarization,4,structured,5,3505,5,3,1,6|15|19,2022-08|2023-05|2023-09,223.14968552867379,212.57060395482532,10.579081573848484,-95.70622040356417,0.0,3|1|6|15|19
Polarization,4,random,1,4501,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,4,random,2,4502,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,4,random,3,4503,0,3,2,6|14|19,2022-08|2023-04|2023-09,222.42405925983428,211.84497768598578,10.579081573848484,-93.58022700683632,0.0,3|2|6|14|19
Polarization,4,random,4,4504,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,4,random,5,4505,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,structured,1,3601,5,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,structured,2,3602,5,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,structured,3,3603,5,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,structured,4,3604,5,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,structured,5,3605,5,3,2,7|13|19,2022-09|2023-03|2023-09,223.98705981390077,213.40797824005227,10.579081573848484,-94.36172728386957,0.0,3|2|7|13|19
Polarization,5,random,1,4601,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,random,2,4602,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,random,3,4603,0,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,5,random,4,4604,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,5,random,5,4605,0,4,2,7|14|19|25,2022-09|2023-04|2023-09|2024-03,225.4583930228607,211.35295092439605,14.105442098464646,-91.57103336373338,0.0,4|2|7|14|19|25
Polarization,6,structured,1,3701,5,3,2,7|13|19,2022-09|2023-03|2023-09,223.98705981390077,213.40797824005227,10.579081573848484,-94.36172728386957,0.0,3|2|7|13|19
Polarization,6,structured,2,3702,5,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,6,structured,3,3703,5,3,2,7|13|19,2022-09|2023-03|2023-09,223.98705981390077,213.40797824005227,10.579081573848484,-94.36172728386957,0.0,3|2|7|13|19
Polarization,6,structured,4,3704,5,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,6,structured,5,3705,5,3,2,7|13|19,2022-09|2023-03|2023-09,223.98705981390077,213.40797824005227,10.579081573848484,-94.36172728386957,0.0,3|2|7|13|19
Polarization,6,random,1,4701,0,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,6,random,2,4702,0,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,6,random,3,4703,0,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,6,random,4,4704,0,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,6,random,5,4705,0,3,2,7|13|19,2022-09|2023-03|2023-09,223.98705981390077,213.40797824005227,10.579081573848484,-94.36172728386957,0.0,3|2|7|13|19
Party Brand Index,3,structured,1,3451,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,structured,2,3452,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,structured,3,3453,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,structured,4,3454,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,structured,5,3455,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,random,1,4451,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,random,2,4452,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,random,3,4453,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,random,4,4454,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,3,random,5,4455,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,structured,1,3551,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,structured,2,3552,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,structured,3,3553,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,structured,4,3554,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,structured,5,3555,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,random,1,4551,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,random,2,4552,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,random,3,4553,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,random,4,4554,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,4,random,5,4555,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,structured,1,3651,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,structured,2,3652,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,structured,3,3653,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,structured,4,3654,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,structured,5,3655,5,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,random,1,4651,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,random,2,4652,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,random,3,4653,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
Party Brand Index,5,random,4,4654,0,1,0,19,2023-09,215.4820480251376,211.95568750052144,3.5263605246161616,-100.68830296333647,0.0,1|0|19
