model_id,series,year_month,observed,structural_regime_mean,one_step_ar_fitted,standardized_innovation
Polarization_focused_1_K3_AR2,Polarization,2024-01,39.40252177887654,39.90849726424197,41.10964831165499,-0.48274284633318304
Polarization_focused_1_K3_AR2,Polarization,2024-02,41.889201128166896,39.90849726424197,40.10967213129932,0.5032168832161031
Polarization_focused_1_K3_AR2,Polarization,2024-03,41.88287375987609,39.90849726424197,38.50454546321611,0.9553268527337796
Polarization_focused_1_K3_AR2,Polarization,2024-04,35.18767131484606,39.90849726424197,37.4940209982697,-0.6521917323863972
Polarization_focused_1_K3_AR2,Polarization,2024-05,35.80912090529779,39.90849726424197,42.94082672028594,-2.016710477069882
Polarization_focused_1_K3_AR2,Polarization,2024-06,46.48207567430694,39.90849726424197,45.17010949487155,0.3709990300031891
Polarization_focused_1_K3_AR2,Polarization,2024-07,42.05405671286235,39.90849726424197,36.23754102666127,1.6447997756372013
Polarization_focused_1_K3_AR2,Polarization,2024-08,40.50181432113925,39.90849726424197,35.47889048945995,1.420387124716035
Polarization_focused_1_K3_AR2,Polarization,2024-09,38.40279819744461,39.90849726424197,38.54969879034221,-0.04154068780596012
Polarization_focused_1_K3_AR2,Polarization,2024-10,40.08625063999523,39.90849726424197,40.890523522401004,-0.22743304203071962
Polarization_focused_1_K3_AR2,Polarization,2024-11,41.0867992308096,39.90849726424197,40.3789505866483,0.2001661052618986
Polarization_focused_1_K3_AR2,Polarization,2024-12,34.93691958961276,39.90849726424197,38.87775562150247,-1.1143933190883737
Polarization_focused_2_K4_AR2,Polarization,2022-03,19.968979886147597,28.14489018324513,25.66907477340164,-1.7607549802677724
Polarization_focused_2_K4_AR2,Polarization,2022-04,29.187411939676807,28.14489018324513,32.680002065124185,-1.0788584364036817
Polarization_focused_2_K4_AR2,Polarization,2022-05,36.70169823824752,28.14489018324513,31.064582898044208,1.7413006460298381
Polarization_focused_2_K4_AR2,Polarization,2022-06,14.150831658218094,28.14489018324513,19.94359467810026,-1.7893800960359225
Polarization_focused_2_K4_AR2,Polarization,2022-07,39.69731341333724,28.14489018324513,36.714072934922534,0.9215207173920509
Polarization_focused_2_K4_AR2,Polarization,2022-08,23.493171991639585,28.14489018324513,24.34182214932256,-0.2621473889823568
Polarization_focused_2_K4_AR2,Polarization,2022-09,40.33633774456976,38.567677021571214,37.30599977493816,0.9360690966486321
Polarization_focused_2_K4_AR2,Polarization,2022-10,39.34476896622999,38.567677021571214,39.169772201142095,0.0540563677892916
Polarization_focused_2_K4_AR2,Polarization,2022-11,35.68709475730685,38.567677021571214,37.03276726534446,-0.41567721541528097
Polarization_focused_2_K4_AR2,Polarization,2022-12,41.621635424008375,38.567677021571214,40.7961507551035,0.2549915870977984
Polarization_focused_2_K4_AR2,Polarization,2023-01,31.79647862160208,34.62178417800533,33.22993461011686,-0.4427934658449065
Polarization_focused_2_K4_AR2,Polarization,2023-02,35.38737231922933,34.62178417800533,35.72579767003146,-0.1045393337584926
Polarization_focused_2_K4_AR2,Polarization,2023-03,37.12578446744588,34.62178417800533,35.26554615434423,0.5746262016800492
Polarization_focused_2_K4_AR2,Polarization,2023-04,32.49789947029008,34.62178417800533,32.00446105898728,0.15242275038255826
Polarization_focused_2_K4_AR2,Polarization,2023-05,27.49930123577101,28.02264408635325,28.75428905443763,-0.38766478376242497
Polarization_focused_2_K4_AR2,Polarization,2023-06,25.71324208038159,28.02264408635325,29.49660148069384,-1.1686768445098332
Polarization_focused_2_K4_AR2,Polarization,2023-07,29.383080146555763,28.02264408635325,30.35030693446846,-0.2987756199767594
Polarization_focused_2_K4_AR2,Polarization,2023-08,29.781083213550914,28.02264408635325,27.886977820238716,0.5850877170280107
